site,date,pm10,pm25
Geelong South,2019-11-27,19.31,4.12
Geelong South,2019-11-28,17.33,5.61
Geelong South,2019-11-29,22.54,7.38
Geelong South,2019-11-30,9.08,4.56
Geelong South,2019-12-01,7.16,4.32
Geelong South,2019-12-02,12.24,5.65
Geelong South,2019-12-03,16.08,4.54
Geelong South,2019-12-04,9.49,4.41
Geelong South,2019-12-05,14.32,4.79
Geelong South,2019-12-06,19.86,6.94
Geelong South,2019-12-07,24.54,7.51
Geelong South,2019-12-08,16.53,4.2
Geelong South,2019-12-09,33.59,7.36
Geelong South,2019-12-10,14.77,6.56
Geelong South,2019-12-11,14.34,4.32
Geelong South,2019-12-12,14.3,4.35
Geelong South,2019-12-13,17.65,4.45
Geelong South,2019-12-14,7.0,1.64
Geelong South,2019-12-15,9.5,4.08
Geelong South,2019-12-16,15.54,5.01
Geelong South,2019-12-17,18.31,4.94
Geelong South,2019-12-18,36.69,9.46
Geelong South,2019-12-19,22.35,6.63
Geelong South,2019-12-20,64.36,18.01
Geelong South,2019-12-21,33.47,16.12
Geelong South,2019-12-22,28.35,9.46
Geelong South,2019-12-23,28.45,10.43
Geelong South,2019-12-24,20.82,6.83
Geelong South,2019-12-25,47.0,32.01
Geelong South,2019-12-26,20.12,9.96
Geelong South,2019-12-27,18.48,7.29
Geelong South,2019-12-28,33.24,13.66
Geelong South,2019-12-29,16.92,7.67
Geelong South,2019-12-30,81.7,12.28
Geelong South,2019-12-31,21.21,10.1
Geelong South,2020-01-01,19.5,6.61
Geelong South,2020-01-02,21.09,6.09
Geelong South,2020-01-03,52.01,27.53
Geelong South,2020-01-04,40.45,24.1
Geelong South,2020-01-05,17.12,5.83
Geelong South,2020-01-06,91.52,70.73
Geelong South,2020-01-07,11.5,13.84
Geelong South,2020-01-08,18.18,11.28
Geelong South,2020-01-09,25.89,10.77
Geelong South,2020-01-10,41.32,23.82
Geelong South,2020-01-11,14.93,7.42
Geelong South,2020-01-12,6.36,2.79
Geelong South,2020-01-13,150.69,58.56
Geelong South,2020-01-14,168.02,143.79
Geelong South,2020-01-15,203.8,155.18
Geelong South,2020-01-16,19.28,33.89
Geelong South,2020-01-17,13.49,7.7
Geelong South,2020-01-18,26.83,12.36
Geelong South,2020-01-19,30.3,18.25
Geelong South,2020-01-20,9.13,5.88
Geelong South,2020-01-21,13.12,9.57
Geelong South,2020-02-14,11.02,6.29
Geelong South,2020-02-15,13.02,6.87
Geelong South,2020-02-16,16.95,5.44
Geelong South,2020-02-17,20.92,3.81
Geelong South,2020-02-18,10.39,4.63
Geelong South,2020-02-19,14.82,5.48
Geelong South,2020-02-20,12.35,2.75
Geelong South,2020-02-21,10.26,4.12
Geelong South,2020-02-22,11.76,2.93
Geelong South,2020-02-23,18.35,5.73
Geelong South,2020-02-24,21.08,6.76
Geelong South,2020-02-25,16.02,5.51
Geelong South,2020-02-26,16.12,3.63
Geelong South,2020-02-27,17.96,4.85
Geelong South,2020-02-28,12.09,2.45
Geelong South,2020-02-29,6.4,1.88
Traralgon,2019-09-01,13.83,12.95
Traralgon,2019-09-02,10.59,6.81
Traralgon,2019-09-03,10.97,6.8
Traralgon,2019-09-04,13.2,8.48
Traralgon,2019-09-05,13.54,7.8
Traralgon,2019-09-06,6.41,2.37
Traralgon,2019-09-07,10.22,6.46
Traralgon,2019-09-08,9.07,5.58
Traralgon,2019-09-09,16.23,10.29
Traralgon,2019-09-10,16.0,8.95
Traralgon,2019-09-11,16.33,11.21
Traralgon,2019-09-12,20.41,10.2
Traralgon,2019-09-13,21.75,10.31
Traralgon,2019-09-14,28.75,15.93
Traralgon,2019-09-15,11.63,10.1
Traralgon,2019-09-16,16.53,9.9
Traralgon,2019-09-17,11.58,8.07
Traralgon,2019-09-18,13.42,7.66
Traralgon,2019-09-19,14.9,7.2
Traralgon,2019-09-20,21.01,8.7
Traralgon,2019-09-21,21.22,7.67
Traralgon,2019-09-22,7.44,5.0
Traralgon,2019-09-23,9.38,8.08
Traralgon,2019-09-24,7.61,5.19
Traralgon,2019-09-25,6.62,6.98
Traralgon,2019-09-26,12.74,6.37
Traralgon,2019-09-27,17.27,5.15
Traralgon,2019-09-28,16.39,7.07
Traralgon,2019-09-29,14.83,7.56
Traralgon,2019-09-30,16.77,9.05
Traralgon,2019-10-01,20.0,9.37
Traralgon,2019-10-02,28.1,10.5
Traralgon,2019-10-03,27.58,9.07
