week_index,week_label,week_start_2019_20,diagnosis,2017-18,2017-18(x),2018-19,2019-20,asr_change_vs_2018_19,pct_change_vs_2018_19
13,24-30 November,2019-11-24,Chest pain,25.14,,27.1,27.18,0.08,0.3
13,24-30 November,2019-11-24,Dehydration,1.8,,1.01,1.53,0.52,51.5
13,24-30 November,2019-11-24,Diseases of the respiratory system,44.32,,45.87,47.03,1.16,2.5
13,24-30 November,2019-11-24,Mental and behavioural disorders,26.22,,24.87,26.73,1.86,7.5
14,1-7 December,2019-12-01,Abnormalities of breathing,6.55,,7.97,8.79,0.82,10.3
14,1-7 December,2019-12-01,Acute myocardial infarction,2.02,,2.56,2.4,-0.16,-6.3
14,1-7 December,2019-12-01,Asthma,5.31,,6.02,8.19,2.17,36.0
14,1-7 December,2019-12-01,COPD with acute exacerbation,0.8,,1.66,2.17,0.51,30.7
14,1-7 December,2019-12-01,Cardiovascular diseases,16.26,,14.95,13.53,-1.42,-9.5
14,1-7 December,2019-12-01,Cerebrovascular diseases,,1.61,3.04,2.9,-0.14,-4.6
14,1-7 December,2019-12-01,Chest pain,24.62,,28.41,27.93,-0.48,-1.7
14,1-7 December,2019-12-01,Dehydration,1.47,,1.78,1.69,-0.09,-5.1
14,1-7 December,2019-12-01,Diseases of the respiratory system,40.23,,44.8,50.3,5.5,12.3
14,1-7 December,2019-12-01,Mental and behavioural disorders,24.36,,27.0,25.18,-1.82,-6.7
15,8-14 December,2019-12-08,Abnormalities of breathing,8.05,,7.72,9.52,1.8,23.3
15,8-14 December,2019-12-08,Acute myocardial infarction,2.18,,2.62,2.58,-0.04,-1.5
15,8-14 December,2019-12-08,Asthma,5.18,,5.61,8.49,2.88,51.3
15,8-14 December,2019-12-08,COPD with acute exacerbation,0.83,,1.71,2.11,0.4,23.4
15,8-14 December,2019-12-08,Cardiovascular diseases,15.71,,14.08,13.82,-0.26,-1.8
15,8-14 December,2019-12-08,Cerebrovascular diseases,,1.79,2.94,2.88,-0.06,-2.0
15,8-14 December,2019-12-08,Chest pain,23.41,,27.75,28.79,1.04,3.7
15,8-14 December,2019-12-08,Dehydration,1.74,,1.38,1.96,0.58,42.0
15,8-14 December,2019-12-08,Diseases of the respiratory system,41.68,,43.67,51.3,7.63,17.5
15,8-14 December,2019-12-08,Mental and behavioural disorders,24.99,,26.36,24.96,-1.4,-5.3
16,15-21 December,2019-12-15,Abnormalities of breathing,7.27,,7.38,8.79,1.41,19.1
