latitude,longitude,fire_count,total_frp,avg_confidence
-38,141.5,96,8812.5,82.3
-27,129,95,11932.8,83.5
-28.5,127.5,95,7368.3,79.0
-24.5,118,95,8754.8,80.7
-12,135.5,94,3523.1,74.0
-33,120.5,94,14945.9,86.9
-19.5,144.5,94,3469.2,77.0
-31.5,133,94,15209.9,91.7
-28,127,93,11624.3,84.8
-25,148,93,5660.8,79.3
-14,136.5,92,3959.2,76.1
-34.5,117,92,28452.5,82.8
-28,131.5,92,8992.8,87.3
-24.5,148,91,3427.2,79.2
-31.5,121,91,19828.9,87.0
-27.5,149,90,7397.3,84.2
-15.5,130.5,90,4677.0,78.9
-26,152,88,4758.5,81.3
-26.5,130,87,5396.6,76.2
-13,141.5,86,3632.2,75.8
-25.5,151.5,86,5371.6,82.4
-34,142.5,85,3599.7,76.9
-31,132.5,85,12278.9,85.2
-32,147,84,5728.6,80.7
-25,152.5,84,11067.2,89.0
-16.5,128.5,84,4514.6,79.4
-30.5,120.5,84,71951.6,93.3
-28.5,125.5,84,10219.3,80.6
-25.5,150.5,83,6100.5,77.3
-26,150.5,83,2805.9,75.7
-11.5,132,82,4951.0,76.3
-28.5,148,81,2555.5,77.4
-18.5,124.5,81,7537.2,85.1
-15.5,145,80,4387.3,75.4
-15.5,129,80,3934.1,76.5
-25.5,130,80,12306.4,88.5
-28.5,153.5,79,2754.5,83.0
-28.5,126.5,79,8099.3,84.3
-16,141.5,79,2441.1,75.6
-14.5,144,78,4243.9,77.8
-30.5,147.5,77,16806.4,88.2
-13,131.5,76,3808.9,78.5
-21,120.5,76,4390.7,82.8
-16,128.5,76,4977.6,81.6
-21.5,118,75,7925.3,80.5
-14.5,143,75,2958.0,77.1
-25,127.5,75,7251.3,91.3
-14.5,128,75,2799.0,74.6
-15,133,74,7890.7,84.4
-35,139,74,9633.5,85.9
-24.5,128.5,74,12559.2,85.0
-21,136.5,74,11730.3,83.0
-15.5,135.5,73,3554.5,74.5
-28,153,73,3151.3,75.7
-29,125.5,73,7334.2,85.1
-27,129.5,73,4856.3,81.7
-15,132,73,5835.0,87.7
-21.5,119.5,72,5020.9,83.9
-23,118.5,72,6915.9,86.6
-30.5,153,71,16640.7,88.1
-21,137,71,14716.9,88.6
-18,143,71,2920.2,79.9
-12.5,131,70,4832.3,77.0
-14,143.5,70,2167.7,76.1
-16,130,69,3699.3,79.4
-20.5,119,69,5389.7,81.8
-19,145.5,69,2920.5,76.2
-26.5,126,68,5704.7,83.6
-16,145,68,2142.9,73.9
-29.5,145,68,13328.8,83.8
-32,136,68,20982.6,88.8
-17,125.5,67,2897.9,72.2
-17,145.5,67,3057.3,73.7
-32.5,116,67,4946.1,75.8
-14.5,135.5,67,5056.4,78.2
-27.5,150,67,3481.6,80.7
-36.5,140,67,8891.3,83.3
-12.5,143,66,3315.1,75.4
-24.5,149,66,4456.5,80.9
-19.5,143.5,66,3556.3,75.9
-16.5,144.5,65,2192.8,73.5
-25.5,129,65,6773.8,83.9
-27.5,130,65,5753.0,86.9
-17.5,124.5,65,5173.0,83.2
-30.5,122.5,65,7517.1,89.8
-38,149,65,5573.2,84.4
-19.5,146.5,64,3833.5,73.9
-24,129.5,64,5003.3,82.4
-31,123,64,14316.1,84.2
-15,128,64,2906.4,77.9
-18.5,146,63,2941.7,73.6
-17.5,144.5,63,3942.5,81.6
-27.5,126,63,4531.7,83.9
-17,123,62,4240.6,79.5
-12.5,130.5,62,3229.5,78.0
-17.5,125.5,62,1484.9,80.5
-36,140,62,13770.8,82.2
-19,144.5,62,3766.8,85.0
-23,119,62,4234.1,86.1
-27.5,128,62,14681.6,90.1
-15.5,136,61,5755.8,76.9
-14,137,61,6131.1,77.4
-18,123.5,61,8523.1,87.1
-30.5,150.5,61,4687.0,82.4
-28,125.5,61,4739.8,77.5
-33.5,137,61,46314.5,91.0
-17,128,60,2281.0,80.5
-19,139.5,59,2407.7,85.5
-15,143.5,59,4116.5,80.3
-27,147.5,58,6889.9,87.2
-31.5,146.5,58,1761.5,74.3
-21,120,58,5817.2,86.9
-22,118,58,5932.9,86.4
-14.5,133,57,1885.3,70.8
-14,132,57,2491.2,77.1
-28,129.5,57,9768.3,85.3
-17.5,122,57,2992.8,82.2
-18.5,126.5,57,4132.2,88.3
-24,151,56,2592.8,75.8
-20,121,56,12275.4,87.2
-27,153.5,56,3240.8,78.6
-31,133,56,4596.5,83.1
-13,133,55,2722.3,81.3
-21.5,134.5,55,8834.8,85.7
-28,152,55,2977.6,88.4
-13.5,133,55,2283.4,75.3
-13.5,136,55,2875.5,79.1
-27,150,54,1953.5,79.3
-19.5,147,54,2198.4,71.9
-16.5,139.5,54,3148.5,75.0
-27,126,54,2263.6,83.0
-16,135,54,4972.8,84.5
-16.5,127,54,2803.0,83.7
-25.5,128,54,5762.1,86.6
-17,142.5,53,2842.4,76.7
-17,144.5,53,2071.0,75.3
-29,131.5,53,8690.8,88.8
-20,145.5,53,6372.1,85.6
-29.5,118.5,53,4747.7,83.1
-16.5,129.5,53,4252.2,81.8
-31,119.5,53,6452.6,88.8
-34,142,52,6763.1,87.9
